distrito,nombre_via,lat_inicio,lon_inicio,lat_fin,lon_fin,longitud_metros,tiempo_estimado_min,tiempo_normal,tiempo_punta,tiempo_noche
Miraflores,Plaza Morales Barros,-12.1187942,-77.040326,-12.1189469,-77.0404086,19.14,0.04,0.04,0.06,0.03
Miraflores,Plaza Centroamérica,-12.1187461,-77.0429786,-12.1188044,-77.0430344,8.86,0.02,0.02,0.03,0.02
Miraflores,Avenida Del Ejército,-12.1187461,-77.0429786,-12.1181479,-77.0435329,89.55,0.18,0.18,0.27,0.14
Miraflores,Avenida Mariscal Andrés Avelino Cáceres,-12.1198488,-77.023903,-12.1198328,-77.0237038,21.76,0.04,0.04,0.06,0.03
Miraflores,Calle General Vargas Machuca,-12.1207291,-77.0229085,-12.1206037,-77.0228161,17.13,0.03,0.03,0.04,0.02
Miraflores,Avenida Ricardo Palma,-12.1207291,-77.0229085,-12.1211723,-77.0222361,88.1,0.18,0.18,0.27,0.14
Miraflores,Avenida Mariscal Andrés Avelino Cáceres,-12.1198898,-77.0241243,-12.1198488,-77.023903,24.51,0.05,0.05,0.08,0.04
Miraflores,Avenida Ricardo Palma,-12.1198898,-77.0241243,-12.1207291,-77.0229085,161.66,0.32,0.32,0.48,0.26
Miraflores,Avenida Ricardo Palma,-12.1196699,-77.0244505,-12.1197431,-77.0243347,14.98,0.03,0.03,0.04,0.02
Miraflores,Avenida La Paz,-12.1191886,-77.0267155,-12.1190616,-77.0267131,14.05,0.03,0.03,0.04,0.02
Miraflores,Avenida Ricardo Palma,-12.1191886,-77.0267155,-12.1191972,-77.0261111,65.8,0.13,0.13,0.2,0.1
Miraflores,Avenida Petit Thouars,-12.1191676,-77.0281999,-12.1190434,-77.0281929,13.76,0.03,0.03,0.04,0.02
Miraflores,Avenida Ricardo Palma,-12.1191676,-77.0281999,-12.1191767,-77.0274509,81.54,0.16,0.16,0.24,0.13
Miraflores,Óvalo de Miraflores,-12.1190359,-77.0289139,-12.1190249,-77.0289201,1.39,0.0,0.0,0.0,0.0
Miraflores,Calle General Suárez,-12.1190526,-77.0274461,-12.1191767,-77.0274509,13.74,0.03,0.03,0.04,0.02
Miraflores,Avenida Ricardo Palma,-12.1190526,-77.0274461,-12.1190434,-77.0281929,81.3,0.16,0.16,0.24,0.13
Miraflores,Calle Alfonso Ugarte,-12.1190616,-77.0267131,-12.1182893,-77.0267059,85.44,0.17,0.17,0.26,0.14
Miraflores,Avenida Ricardo Palma,-12.1190616,-77.0267131,-12.1190526,-77.0274461,79.8,0.16,0.16,0.24,0.13
Miraflores,Calle Schell,-12.1226766,-77.0304267,-12.1225533,-77.0309643,60.09,0.12,0.12,0.18,0.1
Miraflores,Malecón de la Reserva,-12.1337454,-77.0285392,-12.13383,-77.0283091,26.74,0.05,0.05,0.08,0.04
Miraflores,Malecón de la Reserva,-12.13383,-77.0283091,-12.1348366,-77.0275108,141.24,0.28,0.28,0.42,0.22
Miraflores,Malecón de la Reserva,-12.1348366,-77.0275108,-12.1348967,-77.0274341,10.67,0.02,0.02,0.03,0.02
Miraflores,Malecón de la Reserva,-12.1348366,-77.0275108,-12.135806,-77.0279175,116.02,0.23,0.23,0.34,0.18
Miraflores,Calle Carolinos,-12.1349571,-77.027357,-12.135388,-77.0268173,75.65,0.15,0.15,0.22,0.12
Miraflores,Calle Carolinos,-12.135388,-77.0268173,-12.1357251,-77.0263555,62.59,0.13,0.13,0.2,0.1
Miraflores,Calle Las Acacias,-12.135388,-77.0268173,-12.1363991,-77.027665,145.0,0.29,0.29,0.43,0.23
Miraflores,Avenida Malecón Armendariz,-12.1357696,-77.0262967,-12.1352752,-77.0249383,157.65,0.32,0.32,0.48,0.26
Miraflores,Malecón de la Reserva,-12.1363991,-77.027665,-12.1357696,-77.0262967,164.41,0.33,0.33,0.5,0.26
Miraflores,Malecón de la Reserva,-12.135806,-77.0279175,-12.1349571,-77.027357,111.99,0.22,0.22,0.33,0.18
Miraflores,Malecón de la Reserva,-12.135806,-77.0279175,-12.1363991,-77.027665,71.13,0.14,0.14,0.21,0.11
Miraflores,Avenida Armendariz,-12.1326694,-77.0284451,-12.1331807,-77.0277633,93.31,0.19,0.19,0.29,0.15
Miraflores,Calle Alcanfores,-12.1326694,-77.0284451,-12.1337454,-77.0285392,119.47,0.24,0.24,0.36,0.19
Miraflores,Avenida Armendariz,-12.1331807,-77.0277633,-12.1332325,-77.0276975,9.17,0.02,0.02,0.03,0.02
Miraflores,Calle Santa Isabel,-12.1331807,-77.0277633,-12.1331154,-77.0277034,9.73,0.02,0.02,0.03,0.02
Miraflores,Avenida Vasco Nuñez de Balboa,-12.1332325,-77.0276975,-12.1331692,-77.0276349,9.77,0.02,0.02,0.03,0.02
Miraflores,Avenida Armendariz,-12.1332325,-77.0276975,-12.1340251,-77.0267675,133.92,0.27,0.27,0.4,0.22
Miraflores,Avenida Vasco Nuñez de Balboa,-12.1332325,-77.0276975,-12.13383,-77.0283091,93.81,0.19,0.19,0.29,0.15
